experiment,setting,method,display_name,seed,mean_finish_time,p95_finish_time,cache_hit_rate,remote_loading_rate,service_latency,waiting_latency
active_services,8,coord_cache_discrete_sac,SAC + DCC,51,0.23971885575538887,0.44309963716859413,0.4350839655172415,0.5649160344827585,0.6288057855572879,0.13275986125138506
active_services,8,coord_cache_discrete_sac,SAC + DCC,52,0.21551353590093353,0.5272338865543016,0.43711663793103456,0.5628833620689655,0.6187431611016169,0.17218389299957873
active_services,8,coord_cache_discrete_sac,SAC + DCC,53,0.14466866449776114,0.23900998324946024,0.6149958045977012,0.3850041954022989,0.37545211754805946,0.08353660693869508
active_services,8,lean_our,OUR,51,0.17413940642683381,0.3908501917864152,0.7810224137931036,0.21897758620689653,0.2833791421162189,0.17100482468076666
active_services,8,lean_our,OUR,52,0.12456435248508647,0.22931881670150037,0.5564995977011494,0.4435004022988507,0.38596144176369707,0.043670680831552657
active_services,8,lean_our,OUR,53,0.10248313495178181,0.1812928130821662,0.8511813218390805,0.14881867816091954,0.10212154252810304,0.0866341299869728
active_services,10,greedy,SA-Nearest,51,1.89217848825215,2.659342200876852,0.34148275862068966,0.6585172413793103,6.081344033820561,0.16793411975748854
active_services,10,greedy,SA-Nearest,52,1.4809546425660427,2.169883833587654,0.41594252873563214,0.5840574712643679,5.313256002108797,0.4290396604041806
active_services,10,greedy,SA-Nearest,53,2.50118775038586,3.136626216036044,0.2991494252873564,0.7008505747126437,9.324028942097664,0.10346050833957886
active_services,10,daoc_paper,DAOC,51,0.7843615164831899,1.1420173576222354,0.3101599137931034,0.6898400862068965,1.8764667600721716,0.2063528509325559
active_services,10,daoc_paper,DAOC,52,0.6538489777767886,0.8836639269738435,0.1834903735632184,0.8165096264367817,2.9308267178630287,0.13224165850034597
active_services,10,daoc_paper,DAOC,53,0.9851647496610141,1.2977599575155778,0.20121856321839082,0.7987814367816091,2.9494992273554517,0.11199965853425344
active_services,10,our_flat_ddqn,DDQN + DCC,51,0.4521517331267762,0.7246129488094113,0.3204655172413793,0.6795344827586208,1.217296839731811,0.13550329015930704
active_services,10,our_flat_ddqn,DDQN + DCC,52,0.3806975137282542,0.6363967518445823,0.24143448275862067,0.7585655172413793,1.8156911934726292,0.14244698285042878
active_services,10,our_flat_ddqn,DDQN + DCC,53,0.5137891259848607,0.7188282026205112,0.33741540229885053,0.6625845977011495,1.4567784639419221,0.11185047345593492
active_services,10,coord_cache_discrete_sac,SAC + DCC,51,0.3888858920865922,0.6241984553799049,0.34736408045977,0.6526359195402298,1.1343573566323253,0.14812475982114937
active_services,10,coord_cache_discrete_sac,SAC + DCC,52,0.3119664711044276,0.47682575758606277,0.35507310344827586,0.6449268965517241,1.7743346994057094,0.10061589594910929
active_services,10,coord_cache_discrete_sac,SAC + DCC,53,0.43016984717103846,0.557843818160495,0.49867795977011503,0.501322040229885,1.191866525487942,0.07372314711078759
active_services,10,lean_our,OUR,51,0.34780913803543373,0.580245206155054,0.6141486206896551,0.3858513793103448,0.8974013390168846,0.18375374358700555
active_services,10,lean_our,OUR,52,0.29396885254601385,0.4995868716547236,0.45361025862068965,0.5463897413793104,1.5527923936734322,0.08925885139908202
active_services,10,lean_our,OUR,53,0.4223310677536375,0.5473404514573024,0.5834802011494253,0.4165197988505747,1.1596641545710558,0.07103323112699515
