seed,method,phase,average_finish_time,p95_finish_time,waiting_latency,service_latency,cache_hit_rate,cache_remote_loading_rate
55,discrete_sac_std_cache,evaluation,1.184365520908917,1.500866827416494,0.11314616017437404,3.3537013791898125,0.2308720114942529,0.7691279885057475
56,daoc_paper,tail,0.6013023998038091,1.3329748223797833,0.14965400297189427,1.607258180592744,0.42024324324324325,0.5797567567567568
56,daoc_paper,evaluation,0.73763437423656,1.021670003013468,0.1291402889484703,2.5254137253819398,0.1603064655172414,0.8396935344827585
56,dqn_wdsa_std_cache,tail,0.7509408445374315,2.7397557029111095,0.123233000222367,5.185647442297758,0.22041621621621618,0.7795837837837837
56,dqn_wdsa_std_cache,evaluation,1.0920000445612608,1.3146952025472094,0.14180138474117346,6.643984218127436,0.1130998275862069,0.886900172413793
56,daoc_our_coord_cache,tail,0.19837634012576644,0.3176888426580842,0.09407037910127988,0.5503912384825622,0.4900720720720721,0.5099279279279278
56,daoc_our_coord_cache,evaluation,0.26434573507003506,0.39326543820471366,0.09745222558090809,0.8491034802127381,0.27359609195402296,0.7264039080459771
56,lean_our,tail,0.1615652005831444,0.26218886420478543,0.09225418299787991,0.3143629435516255,0.7168738738738739,0.2831261261261261
56,lean_our,evaluation,0.21781325864499998,0.4491446650609891,0.12929691806439808,0.5747894454369038,0.5649976149425288,0.4350023850574712
56,coord_cache_discrete_sac,tail,0.37913440897898454,0.5235508641145812,0.12142449372803081,1.2351399082221035,0.1964918918918919,0.8035081081081081
56,coord_cache_discrete_sac,evaluation,0.2509282413579048,0.4191249107627524,0.10678891438485026,1.0219595842623705,0.31753201149425286,0.6824679885057472
56,discrete_sac_std_cache,tail,1.5872897827006354,2.4502179743230332,0.12969061748174807,4.429758179411174,0.18504684684684686,0.8149531531531532
56,discrete_sac_std_cache,evaluation,1.2498732424509817,1.9248486162000753,0.12344535296151751,4.5150492020755175,0.1791022701149425,0.8208977298850576
