profile,capacity_multiset,capacity_variance,method,display_name,seed,convergence_episode,mean_average_finish_time,mean_p95_finish_time,mean_waiting_latency,mean_cache_hit_rate,mean_cache_remote_loading_rate,mean_cache_service_coverage,mean_cache_zero_capacity_assignment_rate,mean_cache_capacity_utilization,mean_policy_inference_time_per_decision_ms,mean_cache_decision_wall_time_sec
H2,"0,0,0,0,1,1,1,1,2,2",0.56,lean_our,OUR,52,12000,0.29396885254601385,0.4995868716547236,0.08925885139908202,0.45361025862068965,0.5463897413793104,0.7999999999999998,0.10464910919540231,1.0,0.19398604280542572,0.0
H2,"0,0,0,0,1,1,1,1,2,2",0.56,lean_our,OUR,53,10500,0.4223310677536375,0.5473404514573024,0.07103323112699515,0.5834802011494253,0.4165197988505747,0.7999999999999998,0.012605000000000002,1.0,0.21207569247439853,0.0
H3,"0,0,0,0,0,1,1,1,2,3",0.9600000000000002,daoc_paper,DAOC,51,26000,0.9319891676097428,1.3906590219486674,0.2576321319830136,0.2672107183908046,0.7327892816091954,0.6,0.2164144540229885,1.0,0.0249407333320364,0.0
H3,"0,0,0,0,0,1,1,1,2,3",0.9600000000000002,daoc_paper,DAOC,52,26000,0.641320741258149,0.8285202230881012,0.08758109287617755,0.20083810344827582,0.799161896551724,0.7000000000000002,0.33273491379310344,1.0,0.02451371140412427,0.0
H3,"0,0,0,0,0,1,1,1,2,3",0.9600000000000002,daoc_paper,DAOC,53,26000,0.7746480473839106,1.0491581931656873,0.12121323284035485,0.3317052586206897,0.6682947413793103,0.7000000000000002,0.19642028735632183,1.0,0.027917288496756485,0.0
H3,"0,0,0,0,0,1,1,1,2,3",0.9600000000000002,daoc_our_coord_cache,DAOC + DCC,51,26000,0.47740221001288363,0.7417895944724181,0.14761245246189938,0.2775844827586207,0.7224155172413792,0.7999999999999998,0.22933117816091955,1.0,0.02550773557646524,0.0
H3,"0,0,0,0,0,1,1,1,2,3",0.9600000000000002,daoc_our_coord_cache,DAOC + DCC,52,26000,0.38797207183407645,0.5742431541808436,0.12919514672104337,0.29489968390804594,0.7051003160919542,0.7999999999999998,0.18729752873563218,1.0,0.025096243120965433,0.0
H3,"0,0,0,0,0,1,1,1,2,3",0.9600000000000002,daoc_our_coord_cache,DAOC + DCC,53,26000,0.5015544281847151,0.6519938143515717,0.1392366480900055,0.39872028735632187,0.6012797126436782,0.7999999999999998,0.35736114942528735,1.0,0.020114208585395338,0.0
H3,"0,0,0,0,0,1,1,1,2,3",0.9600000000000002,our_flat_ddqn,DDQN + DCC,51,10500,0.4147778799102002,0.5879012792395759,0.12621549036634716,0.25792551724137935,0.7420744827586206,0.7999999999999998,0.46199962643678155,1.0,0.07318931954858314,0.0
H3,"0,0,0,0,0,1,1,1,2,3",0.9600000000000002,our_flat_ddqn,DDQN + DCC,52,10500,0.4171878404372887,0.787377177600854,0.24004142394240385,0.24225043103448274,0.7577495689655173,0.7999999999999998,0.3986038505747127,1.0,0.041408451619794215,0.0
H3,"0,0,0,0,0,1,1,1,2,3",0.9600000000000002,our_flat_ddqn,DDQN + DCC,53,10500,0.5149001718983971,0.7384396406286896,0.12823736023123983,0.31669514367816093,0.6833048563218391,0.7999999999999998,0.41651856321839076,1.0,0.07140236506811623,0.0
H3,"0,0,0,0,0,1,1,1,2,3",0.9600000000000002,lean_our,OUR,51,10500,0.3755788491335021,0.619911709330852,0.23614527976052924,0.5917680747126437,0.4082319252873564,0.7999999999999998,0.032499999999999994,1.0,0.16368864157844612,0.0
H3,"0,0,0,0,0,1,1,1,2,3",0.9600000000000002,lean_our,OUR,52,12500,0.2848912004860173,0.5151448958855014,0.0713138871100164,0.4839560057471264,0.5160439942528736,0.7999999999999998,0.07814663793103449,1.0,0.17426600973798234,0.0
H3,"0,0,0,0,0,1,1,1,2,3",0.9600000000000002,lean_our,OUR,53,10500,0.597406047259691,0.8535501657529442,0.0687403964019212,0.5261773563218392,0.47382264367816085,0.7999999999999998,0.02148066091954023,1.0,0.2043121592993828,0.0
